id	provided_identifier
1672042	oai:orbis.library.yale.edu:583892
1672043	oai:orbis.library.yale.edu:583895
1672044	oai:orbis.library.yale.edu:583934
1672045	oai:orbis.library.yale.edu:583941
1672046	oai:orbis.library.yale.edu:584003
1672047	oai:orbis.library.yale.edu:584017
1672048	oai:orbis.library.yale.edu:584048
1672049	oai:orbis.library.yale.edu:584061
1672050	oai:orbis.library.yale.edu:584080
1672051	oai:orbis.library.yale.edu:584134
1672052	oai:orbis.library.yale.edu:584156
1672053	oai:orbis.library.yale.edu:584157
1672054	oai:orbis.library.yale.edu:584160
1672055	oai:orbis.library.yale.edu:584161
1672056	oai:orbis.library.yale.edu:584164
1672057	oai:orbis.library.yale.edu:584173
1672058	oai:orbis.library.yale.edu:584190
1672059	oai:orbis.library.yale.edu:584197
1672060	oai:orbis.library.yale.edu:584249
1672061	oai:orbis.library.yale.edu:584270
1672062	oai:orbis.library.yale.edu:584302
1672063	oai:orbis.library.yale.edu:584314
1672064	oai:orbis.library.yale.edu:584340
1672065	oai:orbis.library.yale.edu:584352
1672066	oai:orbis.library.yale.edu:584354
1672067	oai:orbis.library.yale.edu:584355
1672068	oai:orbis.library.yale.edu:584364
1672069	oai:orbis.library.yale.edu:584376
1672070	oai:orbis.library.yale.edu:584396
1672071	oai:orbis.library.yale.edu:584399
1672072	oai:orbis.library.yale.edu:584401
1672073	oai:orbis.library.yale.edu:584406
1672074	oai:orbis.library.yale.edu:578598
1672075	oai:orbis.library.yale.edu:578615
1672076	oai:orbis.library.yale.edu:578624
1672077	oai:orbis.library.yale.edu:578625
1672078	oai:orbis.library.yale.edu:578626
1672079	oai:orbis.library.yale.edu:578647
1672080	oai:orbis.library.yale.edu:578658
1672081	oai:orbis.library.yale.edu:578662
1672082	oai:orbis.library.yale.edu:578665
1672083	oai:orbis.library.yale.edu:578679
1672084	oai:orbis.library.yale.edu:578680
1672085	oai:orbis.library.yale.edu:578684
1672086	oai:orbis.library.yale.edu:578689
1672087	oai:orbis.library.yale.edu:578694
1672088	oai:orbis.library.yale.edu:578698
1672089	oai:orbis.library.yale.edu:578700
1672090	oai:orbis.library.yale.edu:578715
1672091	oai:orbis.library.yale.edu:578738
1672092	oai:orbis.library.yale.edu:578742
1672093	oai:orbis.library.yale.edu:578744
1672094	oai:orbis.library.yale.edu:578753
1672095	oai:orbis.library.yale.edu:578765
1672096	oai:orbis.library.yale.edu:578767
1672097	oai:orbis.library.yale.edu:578777
1672098	oai:orbis.library.yale.edu:578783
1672099	oai:orbis.library.yale.edu:578790
1672100	oai:orbis.library.yale.edu:578795
1672101	oai:orbis.library.yale.edu:578806
1672102	oai:orbis.library.yale.edu:578812
1672103	oai:orbis.library.yale.edu:578825
1672104	oai:orbis.library.yale.edu:578828
1672105	oai:orbis.library.yale.edu:578856
1672106	oai:orbis.library.yale.edu:578859
1672107	oai:orbis.library.yale.edu:578863
1672108	oai:orbis.library.yale.edu:578891
1672109	oai:orbis.library.yale.edu:578892
1672110	oai:orbis.library.yale.edu:578894
1672111	oai:orbis.library.yale.edu:578898
1672112	oai:orbis.library.yale.edu:578900
1672113	oai:orbis.library.yale.edu:578901
1672114	oai:orbis.library.yale.edu:578905
1672115	oai:orbis.library.yale.edu:578916
1672116	oai:orbis.library.yale.edu:578917
1672117	oai:orbis.library.yale.edu:578920
1672118	oai:orbis.library.yale.edu:578928
1672119	oai:orbis.library.yale.edu:578935
1672120	oai:orbis.library.yale.edu:578937
1672121	oai:orbis.library.yale.edu:578946
1672122	oai:orbis.library.yale.edu:578948
1672123	oai:orbis.library.yale.edu:578949
1672124	oai:orbis.library.yale.edu:578950
1672125	oai:orbis.library.yale.edu:578980
1672126	oai:orbis.library.yale.edu:578982
1672127	oai:orbis.library.yale.edu:579003
1672128	oai:orbis.library.yale.edu:579006
1672129	oai:orbis.library.yale.edu:579015
1672130	oai:orbis.library.yale.edu:579021
1672131	oai:orbis.library.yale.edu:579067
1672132	oai:orbis.library.yale.edu:579071
1672133	oai:orbis.library.yale.edu:579074
1672134	oai:orbis.library.yale.edu:579076
1672135	oai:orbis.library.yale.edu:579079
1672136	oai:orbis.library.yale.edu:579101
1672137	oai:orbis.library.yale.edu:579103
1672138	oai:orbis.library.yale.edu:579105
1672139	oai:orbis.library.yale.edu:579113
1672140	oai:orbis.library.yale.edu:579114
1672141	oai:orbis.library.yale.edu:579121
1672142	oai:orbis.library.yale.edu:579132
